Year,Week,Max_Temp_C_mean,Max_Temp_C_max,Max_Temp_C_std,Min_Temp_C_mean,Min_Temp_C_min,Min_Temp_C_std,Temp_Range_mean,Temp_Range_max,Rainfall_mm_sum,Rainfall_mm_max,Rainfall_mm_rainy_days,Evaporation_mm_mean,Evaporation_mm_sum,Radiation_MJ_m2_mean,Radiation_MJ_m2_sum,Vapour_Pressure_hPa_mean,Vapour_Pressure_hPa_min,Vapour_Pressure_hPa_max,RH_at_Max_Temp_pct_mean,RH_at_Max_Temp_pct_min,RH_at_Min_Temp_pct_mean,RH_at_Min_Temp_pct_max,Deaths,is_surge
2018,6,0.8005908419497783,0.7668711656441718,0.34926951560170877,0.7882136279926335,0.7581967213114755,0.4098506674359941,0.7533632286995513,0.6861702127659575,0.0,0.0,0.0,0.699410609037328,0.6994106090373281,0.6212034383954157,0.6212034383954154,0.6256062075654705,0.5970149253731343,0.53551912568306,0.18024215740231142,0.31458333333333327,0.7606941081517358,1.0,53.0,0
2018,7,0.7400295420974887,0.705521472392638,0.18112060619187473,0.7384898710865563,0.6557377049180328,0.3288567452645925,0.7156950672645741,0.7340425531914894,0.0,0.0,0.0,0.8330058939096268,0.8330058939096268,0.7776504297994269,0.7776504297994269,0.533462657613967,0.3283582089552239,0.5628415300546448,0.18244358833241592,0.19375000000000003,0.6678773204196935,1.0,51.0,0
2018,8,0.5819793205317577,0.7085889570552149,0.7619573075814363,0.8170656844689994,0.6926229508196722,0.39666226993311,0.3130044843049327,0.48936170212765967,0.10310965630114567,0.1733149931224209,0.16666666666666666,0.5068762278978389,0.5068762278978389,0.4189111747851003,0.4189111747851003,0.5916585838991271,0.42537313432835827,0.7049180327868854,0.46862960924600994,0.39166666666666666,0.5633575464083938,1.0,53.0,0
2018,9,0.6149679960610536,0.6104294478527608,0.453877365741449,0.7120933087783917,0.7008196721311477,0.19248284606437827,0.5264573991031392,0.5372340425531914,0.48608837970540103,0.8170563961485556,0.16666666666666666,0.5638506876227898,0.5638506876227898,0.6223495702005731,0.6223495702005731,0.5344325897187198,0.6119402985074627,0.5136612021857925,0.3282883874518434,0.40624999999999994,0.8325262308313153,1.0,43.0,0
2018,10,0.5647464303298865,0.628834355828221,0.3858824674613031,0.6316758747697975,0.5737704918032788,0.4071054260679875,0.5524663677130044,0.6702127659574468,0.0016366612111292965,0.002751031636863824,0.16666666666666666,0.5520628683693516,0.5520628683693517,0.5816618911174785,0.5816618911174786,0.4927255092143551,0.49253731343283574,0.5136612021857925,0.3552559163456246,0.3958333333333333,0.8829701372074255,1.0,44.0,0
2018,11,0.655834564254062,0.6871165644171779,0.4437598724303975,0.7360343769183548,0.7295081967213115,0.20799544018752686,0.5659192825112109,0.6914893617021276,0.009819967266775777,0.016506189821182942,0.16666666666666666,0.5540275049115913,0.5540275049115914,0.4825214899713467,0.4825214899713467,0.5383123181377305,0.6268656716417911,0.4426229508196721,0.28866263070996134,0.26875,0.7296206618240524,1.0,43.0,0
2018,12,0.48695224027572614,0.49999999999999994,0.4144757306504418,0.6046654389195826,0.5204918032786886,0.43478261891219927,0.45022421524663664,0.6808510638297873,0.0024549918166939444,0.002751031636863824,0.3333333333333333,0.36149312377210224,0.36149312377210213,0.30257879656160447,0.3025787965616046,0.41028128031037836,0.3134328358208956,0.45901639344262285,0.3970831040176114,0.2375,0.7970137207425345,1.0,32.0,0
2018,13,0.5933037912358443,0.6165644171779141,0.6309580826780957,0.49416820135052186,0.34426229508196726,0.44190570042274424,0.8053811659192827,0.7872340425531916,0.03273322422258593,0.055020632737276476,0.16666666666666666,0.4479371316306483,0.4479371316306484,0.4825214899713467,0.4825214899713467,0.33074684772065954,0.19402985074626866,0.4262295081967213,0.17583929554210231,0.18124999999999997,0.7570621468926555,1.0,40.0,0
2018,14,0.6523879862136877,0.5828220858895705,0.21263500170680957,0.6568446899938613,0.5122950819672132,0.43607806872448585,0.6753363228699552,0.824468085106383,0.0,0.0,0.0,0.44400785854616887,0.444007858546169,0.42005730659025786,0.42005730659025786,0.5024248302618817,0.47761194029850745,0.5027322404371584,0.2605943863511281,0.2770833333333333,0.8236481033091201,1.0,39.0,0
2018,15,0.5800098473658295,0.6319018404907975,0.7349660992690776,0.6568446899938613,0.5737704918032788,0.5012106092660958,0.5434977578475337,0.7925531914893618,0.12274959083469722,0.17606602475928473,0.3333333333333333,0.41846758349705304,0.4184675834970531,0.28424068767908317,0.28424068767908317,0.3821532492725509,0.2985074626865672,0.3825136612021857,0.2616951018161804,0.15208333333333335,0.5472154963680385,1.0,29.0,0
2018,16,0.4406696208764155,0.43558282208588966,0.30955898706164153,0.5267034990791898,0.5081967213114755,0.3287262952596462,0.4798206278026906,0.5585106382978724,0.0,0.0,0.0,0.22593320235756387,0.22593320235756387,0.24355300859598855,0.24355300859598855,0.4248302618816684,0.5149253731343284,0.3442622950819672,0.47468354430379733,0.5083333333333333,0.9790153349475379,1.0,47.0,0
2018,17,0.4539635647464302,0.48159509202453993,0.4017211700053208,0.45365254757519946,0.46721311475409844,0.325583361425197,0.6107623318385651,0.6702127659574468,0.014729950900163668,0.024759284731774415,0.16666666666666666,0.22200392927308443,0.2220039292730845,0.2762177650429799,0.2762177650429799,0.32007759456838014,0.3283582089552239,0.28961748633879775,0.33654375343973575,0.3854166666666667,0.8930589184826478,1.0,46.0,0
2018,18,0.37223042836041353,0.4079754601226993,0.333742142456452,0.3486801718845918,0.2868852459016394,0.5807925815754026,0.6152466367713005,0.6968085106382977,0.10310965630114567,0.12379642365887207,0.5,0.21807465618860516,0.2180746561886051,0.22979942693409733,0.22979942693409738,0.2473326867119302,0.2388059701492537,0.39890710382513656,0.38497523390203614,0.3104166666666666,1.0000000000000002,1.0,50.0,0
2018,19,0.25947808961102903,0.32822085889570557,0.4915183907242767,0.33640270104358505,0.2909836065573771,0.3397293586120746,0.42780269058295967,0.5904255319148934,0.03518821603927987,0.046767537826685,0.5,0.1532416502946955,0.1532416502946955,0.1306590257879655,0.13065902578796557,0.19301648884578082,0.19402985074626866,0.1748633879781421,0.4609246009906438,0.4875,0.8773204196933013,1.0,57.0,0
2018,20,0.2289512555391432,0.20552147239263813,0.09386190078563175,0.16267648864333947,0.18852459016393447,0.2937526733686726,0.6260089686098655,0.5585106382978724,0.0,0.0,0.0,0.0962671905697446,0.0962671905697446,0.20057306590257873,0.20057306590257878,0.11445198836081483,0.18656716417910446,0.07103825136612019,0.380297193175564,0.5104166666666665,1.0000000000000002,1.0,58.0,0
2018,21,0.2516001969473165,0.24539877300613505,0.09209743221390099,0.2774708410067526,0.20491803278688528,0.4238614748873192,0.4995515695067266,0.5265957446808509,0.0,0.0,0.0,0.0962671905697446,0.0962671905697446,0.1312320916905444,0.13123209169054445,0.19883608147429688,0.2537313432835821,0.15846994535519116,0.47358282883874514,0.5979166666666667,0.9790153349475379,1.0,46.0,0
2018,22,0.16691285081240764,0.19938650306748468,0.23004556122106837,0.29895641497851444,0.2991803278688525,0.21388034954931184,0.3139013452914798,0.4095744680851063,0.03764320785597382,0.06052269601100413,0.3333333333333333,0.08251473477406678,0.0825147347740668,0.1020057306590258,0.1020057306590258,0.1590688651794374,0.18656716417910446,0.13114754098360648,0.5588882773802971,0.5625,0.9503631961259085,1.0,52.0,0
2018,23,0.16494337764647954,0.15950920245398775,0.12705298810559482,0.379987722529159,0.418032786885246,0.2592738122442215,0.1919282511210762,0.22872340425531906,0.049918166939443544,0.06052269601100413,0.5,0.039292730844793705,0.03929273084479372,0.03724928366762176,0.03724928366762176,0.2667313288069836,0.2835820895522388,0.25136612021857924,0.7465602641717115,0.8041666666666667,1.0000000000000002,1.0,64.0,1
2018,24,0.06203840472673561,0.1012269938650307,0.257521039134895,0.33885819521178634,0.3278688524590164,0.3212230925879099,0.06457399103139005,0.24999999999999994,0.09983633387888707,0.06052269601100413,0.8333333333333333,0.08251473477406678,0.0825147347740668,0.04240687679083094,0.042406876790830994,0.1901066925315228,0.18656716417910446,0.2240437158469945,0.8222344523940561,0.9208333333333334,0.857949959644875,1.0,49.0,0
2018,25,0.1127523387493845,0.07975460122699385,0.003769282948289397,0.1141804788213628,0.07786885245901642,0.5723596256413317,0.4852017937219731,0.4680851063829788,0.011456628477905073,0.019257221458046765,0.16666666666666666,0.039292730844793705,0.03929273084479372,0.13180515759312317,0.13180515759312322,0.057225994180407413,0.10447761194029853,0.08743169398907102,0.45734727572922396,0.5625,0.9721549636803879,1.0,42.0,0
2018,26,0.10881339241752824,0.1226993865030675,0.1345228424246582,0.16513198281154082,0.08196721311475413,0.7021789511359511,0.40358744394618823,0.5319148936170213,0.06382978723404256,0.1045392022008253,0.3333333333333333,0.029469548133595286,0.029469548133595286,0.10544412607449855,0.1054441260744986,0.12221144519883609,0.08208955223880599,0.26229508196721313,0.597963676389653,0.45625,1.0000000000000002,1.0,49.0,0
2018,27,0.14771048744460857,0.21472392638036814,0.3302598537067678,0.18354818907305095,0.15983606557377053,0.548535207698241,0.44753363228699555,0.6010638297872342,0.004909983633387889,0.008253094910591471,0.16666666666666666,0.06090373280943025,0.060903732809430275,0.11919770773638971,0.11919770773638966,0.10960232783705143,0.12686567164179108,0.24043715846994534,0.5074298293891029,0.49791666666666673,0.8769168684422921,1.0,49.0,0
2018,28,0.07582471688823234,0.05214723926380371,0.09344666337442753,0.0,0.045081967213114804,0.18738370622658296,0.5847533632286996,0.48936170212765956,0.0,0.0,0.0,0.035363457760314326,0.03536345776031434,0.1753581661891117,0.17535816618911176,0.0,0.07462686567164178,0.010928961748633892,0.40286186020913617,0.5270833333333333,1.0000000000000002,1.0,46.0,0
2018,29,0.09158050221565728,0.13496932515337423,0.22992671375204068,0.10251688152240639,0.040983606557377095,0.4912983652608084,0.4636771300448432,0.5638297872340425,0.008183306055646482,0.011004126547455296,0.3333333333333333,0.12377210216110017,0.1237721021611002,0.1724928366762178,0.1724928366762178,0.02327837051406395,0.08955223880597019,0.07650273224043713,0.4372592184920199,0.45208333333333334,0.9370460048426146,1.0,50.0,0
2018,30,0.17331363860167404,0.14417177914110435,0.12783943195536296,0.14487415592387967,0.008196721311475419,0.7900254311590339,0.5506726457399103,0.5851063829787235,0.03273322422258593,0.055020632737276476,0.16666666666666666,0.13555992141453826,0.13555992141453832,0.19140401146131802,0.19140401146131808,0.08729388942774013,0.052238805970149294,0.18032786885245894,0.41772151898734167,0.46041666666666664,0.9051654560129136,1.0,49.0,0
2018,31,0.16740521910388967,0.24233128834355827,0.29947559950579505,0.2430939226519337,0.15983606557377053,0.5805938550353937,0.3964125560538117,0.7180851063829787,0.1407528641571195,0.22558459422283353,0.3333333333333333,0.16306483300589386,0.16306483300589392,0.23495702005730645,0.23495702005730656,0.07080504364694473,0.11940298507462688,0.060109289617486295,0.4075399009356081,0.3708333333333333,0.723567393058919,1.0,42.0,0
2018,32,0.1142294436238307,0.1503067484662577,0.2896096015632709,0.22529158993247392,0.2131147540983607,0.17924104953917797,0.32556053811659197,0.45212765957446804,0.06710310965630115,0.06602475928473177,0.5,0.1394891944990177,0.1394891944990177,0.19656160458452715,0.1965616045845272,0.10281280310378282,0.17164179104477617,0.12021857923497264,0.5575123830489819,0.5208333333333333,0.9523809523809528,1.0,59.0,0
2018,33,0.12703101920236326,0.16257668711656442,0.29712426852326884,0.2541436464088398,0.10655737704918036,0.5555300930221185,0.30672645739910326,0.46276595744680843,0.029459901800327336,0.04951856946354883,0.16666666666666666,0.15717092337917482,0.15717092337917488,0.26303724928366756,0.2630372492836677,0.07177497575169739,0.11194029850746268,0.06557377049180324,0.4634012107870116,0.55,0.731234866828087,1.0,49.0,0
2018,34,0.14130969965534212,0.14723926380368102,0.2249077959589967,0.26703499079189685,0.09016393442622955,0.6030088573648429,0.3139013452914798,0.3989361702127659,0.008183306055646482,0.011004126547455296,0.3333333333333333,0.10805500982318274,0.10805500982318274,0.21432664756446995,0.21432664756446995,0.1454898157129002,0.08208955223880599,0.21857923497267756,0.5619152449091909,0.575,0.9761904761904765,1.0,49.0,0
2018,35,0.13096996553421958,0.10429447852760737,0.10023797210574226,0.1761817065684469,0.057377049180327905,0.6409399640281289,0.42780269058295967,0.6063829787234043,0.12111292962356794,0.16506189821182943,0.5,0.14538310412573674,0.14538310412573674,0.2790830945558739,0.2790830945558739,0.04267701260911744,0.04477611940298509,0.11475409836065575,0.4020363236103467,0.37499999999999994,0.937853107344633,1.0,57.0,0
