Feature,Importance,Coefficient
is_bad_air_week_lag_1@w5,0.13129681,-0.016504828
is_bad_air_week@w6,0.13125658,-0.016474724
O3_weekly_mean@w0,0.13123134,0.050751504
Year@w7,0.12456379,-0.12456379
Week@w4,0.11160844,-0.014648088
Week@w1,0.10726683,-0.01297313
Year@w5,0.10441608,-0.024310775
Week@w2,0.09479526,-0.002362296
Week@w5,0.083735906,-0.0076626223
Week@w3,0.08280787,-0.00842784
O3_weekly_mean_lag_4@w7,0.07995945,0.0050787157
O3_weekly_mean_lag_1@w0,0.07612925,0.015907912
O3_weekly_mean@w1,0.07526209,0.015635194
PM10_weekly_mean_lag_4@w6,0.07437016,-0.042162213
AQI_weekly_mean@w0,0.07284421,0.0040886756
O3_weekly_mean_lag_2@w7,0.06395164,0.020470615
O3_weekly_mean_lag_4@w5,0.063708454,0.019469805
Week@w6,0.06245099,0.06245099
PM10_weekly_mean@w0,0.06130915,0.0068606706
PM10_weekly_mean_lag_4@w7,0.058738828,-0.02290716
Week@w0,0.05569469,0.034658365
PM25_weekly_mean@w0,0.047665466,-0.0037631318
O3_weekly_mean_lag_2@w2,0.047389016,-0.027150761
O3_weekly_mean@w4,0.047298856,-0.028109938
O3_weekly_mean_lag_1@w3,0.04720691,-0.027116898
O3_weekly_mean_lag_2@w0,0.04700528,0.009266528
O3_weekly_mean_lag_4@w0,0.046964064,-0.029306477
O3_weekly_mean@w2,0.0467628,0.008448562
O3_weekly_mean_lag_1@w1,0.04598355,0.008140009
O3_weekly_mean_lag_1@w4,0.042301003,0.00030299183
O3_weekly_mean@w5,0.04193753,0.0021630032
O3_weekly_mean_lag_2@w3,0.041903112,-0.0001081666
O3_weekly_mean_lag_4@w1,0.041247558,7.471442e-05
PM25_weekly_mean_lag_4@w6,0.040668927,0.0033525745
O3_weekly_mean_lag_1@w7,0.040247645,0.0071347477
O3_weekly_mean_lag_2@w6,0.038883314,0.0066175032
O3_weekly_mean_lag_4@w4,0.038655527,0.006885208
O3_weekly_mean@w7,0.036387343,-0.007307235
O3_weekly_mean_lag_1@w6,0.03629578,-0.006724449
O3_weekly_mean_lag_4@w3,0.036179777,-0.006557177
PM10_weekly_mean_lag_2@w7,0.035611413,-0.025462804
O3_weekly_mean_lag_2@w5,0.034759223,-0.0064059887
PM25_weekly_mean_lag_4@w5,0.033286557,-0.01298965
O3_weekly_mean_lag_2@w1,0.03216299,-0.013888061
PM10_weekly_mean_lag_4@w5,0.032095473,-0.017794292
O3_weekly_mean@w3,0.031900425,-0.01307616
O3_weekly_mean_lag_1@w2,0.031867158,-0.014030617
PM25_weekly_mean_lag_2@w7,0.031130295,-0.010013306
PM10_weekly_mean@w1,0.029906178,0.018919118
PM10_weekly_mean_lag_1@w0,0.02989269,0.018939022
AQI_weekly_mean_lag_1@w0,0.029475395,-0.02543497
AQI_weekly_mean_lag_4@w6,0.029098324,0.017601691
AQI_weekly_mean@w1,0.029051594,-0.025566537
PM25_weekly_mean_lag_4@w7,0.027880702,0.027880702
PM25_weekly_mean_lag_4@w1,0.027370565,0.010252073
O3_weekly_mean@w6,0.0263551,-0.01784478
O3_weekly_mean_lag_2@w4,0.025911523,-0.016866026
AQI_weekly_mean_lag_1@w3,0.025849022,-0.021759158
O3_weekly_mean_lag_4@w2,0.025817482,-0.016921801
O3_weekly_mean_lag_1@w5,0.025525525,-0.017571695
AQI_weekly_mean_lag_1@w5,0.024696281,0.014464023
AQI_weekly_max@w3,0.023892095,0.0006575687
AQI_weekly_mean_lag_2@w3,0.023278994,0.011880184
PM25_weekly_mean_lag_4@w4,0.022540713,-0.022540713
Week@w7,0.022540702,0.016133362
AQI_weekly_mean@w3,0.022421261,-0.009789189
AQI_weekly_mean_lag_4@w5,0.022358805,0.010589689
AQI_weekly_mean_lag_4@w7,0.02224319,-0.02224319
PM25_weekly_mean_lag_2@w4,0.021787703,0.0064911265
AQI_weekly_mean_lag_2@w7,0.021345591,0.015815774
PM10_weekly_mean_lag_4@w0,0.020188935,-0.020188935
AQI_weekly_mean_lag_2@w5,0.020146865,0.004637214
PM10_weekly_mean@w3,0.019932026,-0.013817277
PM10_weekly_mean_lag_1@w5,0.019930717,-0.019930717
AQI_weekly_mean@w6,0.01992101,0.013918741
AQI_weekly_mean_lag_4@w0,0.0196889,-0.0063076685
